ZTF18abauprj 0.025000 Ia
58430.114919 1 19.4263 0.162235
58390.1210301 1 18.8271 0.0769825
58387.2219329 1 18.8148 0.147114
58384.2184375 1 18.7689 0.10574
58381.1767708 1 18.7338 0.109302
58377.2033565 1 18.6207 0.0794476
58374.1990394 1 18.6272 0.0838327
58371.2134144 1 18.6039 0.0695987
58368.2005787 1 18.5117 0.0701959
58365.2226736 1 18.4111 0.0851002
58362.201713 1 18.4359 0.0636522
58352.1835995 1 18.2718 0.0849147
58349.1720023 1 18.1591 0.0684899
58346.1555093 1 18.1057 0.0548698
58343.1788773 1 18.0744 0.0659146
58340.3265856 1 17.9385 0.0855201
58337.1796065 1 17.8603 0.0480844
58334.1864005 1 17.6403 0.0530306
58331.2468981 1 17.5192 0.0487441
58328.181794 1 17.1596 0.038882
58325.2010648 1 16.9488 0.0419418
58322.2002431 1 16.6668 0.0380651
58319.1977431 1 16.4512 0.0356389
58314.3208333 1 16.0225 0.0194174
58308.2176736 1 15.6707 0.0239709
58299.1864352 1 15.5681 0.023848
58293.2219329 1 15.9628 0.0286048
58290.2186806 1 16.4767 0.0340589
58284.2594097 1 19.5309 0.0721341
