ZTF18abrzbyt 0.027660 Ia
58979.2328704 1 19.7601 0.214072
58973.1958912 1 19.8728 0.28819
58963.1733333 1 19.8737 0.131416
58963.1539815 1 19.7779 0.130724
58912.1655093 1 20.0051 0.210999
58906.2612731 1 19.9013 0.144417
58904.1582523 1 19.8676 0.143738
58903.2433912 1 19.8967 0.144333
58900.2989815 1 19.7721 0.145073
58898.269456 1 19.8945 0.134342
58895.169375 1 19.9025 0.16348
58879.1734028 1 19.7103 0.168935
58876.2178704 1 19.9193 0.139836
58867.3915278 1 19.8697 0.140978
58864.1953472 1 19.886 0.170625
58861.1131713 1 19.9282 0.243904
58854.4988079 1 19.7743 0.276211
58853.4561806 1 19.8769 0.128652
58852.4629398 1 19.848 0.10472
58850.4259606 1 19.8491 0.22575
58849.4698958 1 19.8449 0.154114
58846.4853819 1 19.9699 0.157404
58766.4667477 1 19.8668 0.148901
58763.4732639 1 19.8339 0.139286
58756.45375 1 19.9806 0.189869
58751.4906944 1 19.9619 0.18362
58736.4898843 1 19.8229 0.156382
58733.4906134 1 19.843 0.224492
58726.4874769 1 19.8715 0.236619
58602.1841667 1 19.9335 0.161938
58598.2068519 1 19.9428 0.175736
58594.1943634 1 19.7217 0.208457
58581.1909954 1 20.11 0.181985
58567.1746759 1 20.1453 0.171011
58556.2435995 1 19.9747 0.226325
58547.2884028 1 20.0895 0.196091
58547.2884028 1 20.0895 0.196091
58522.1784722 1 20.073 0.189641
58508.2030208 1 20.1156 0.202262
58493.2445949 1 20.3674 0.204102
