ZTF18abtvhef 0.032000 Ia
58701.3772106 2 19.4484 0.210556
58698.3985301 2 19.3445 0.224269
58693.3393981 2 19.5516 0.170176
58690.3847801 2 19.5704 0.250022
58684.4397106 2 19.2826 0.272699
58674.4605324 2 19.5332 0.209591
58667.4803356 2 19.5473 0.232764
58661.4203819 2 19.4326 0.1659
58657.3976852 2 19.3931 0.212979
58646.480081 2 19.3271 0.303473
