ZTF18acszaiy 0.030000 II
58540.1311343 1 19.0959 0.13736
58514.1716319 1 18.3612 0.0700606
58510.1487384 1 18.2892 0.0877893
58507.1487731 1 18.24 0.0892318
58503.1700463 1 18.1431 0.0916137
58494.1622454 1 18.0592 0.0645816
58491.1624884 1 18.0845 0.0674571
58487.1484028 1 18.0716 0.0804077
58483.1639468 1 18.0778 0.0704137
58481.2689815 1 18.1246 0.0900099
58475.1077894 1 18.2527 0.100516
58472.1719444 1 18.2628 0.0959635
58469.1654861 1 18.4031 0.0806944
