ZTF18acrdmmw 0.050000 Ia
58526.4236343 1 20.1781 0.372725
58522.4173958 1 20.1504 0.264256
58511.4590394 1 20.3009 0.211236
58494.4755093 1 19.5151 0.151344
58491.4728125 1 19.3929 0.139031
58486.5241088 1 18.9497 0.0807987
58480.4963657 1 18.3177 0.0784665
58464.5046991 1 17.3234 0.0393383
58461.4740972 1 17.3002 0.0431841
58450.5051505 1 18.3876 0.0742848
