ZTF20aayxldg 0.047369 Ia
58987.3441551 2 17.707 0.0458784
58987.3257986 2 17.7144 0.0615034
58986.3056481 2 17.7914 0.0475842
58986.2975347 2 17.8165 0.0487575
58985.3875463 2 17.8864 0.0531609
58985.3866088 2 17.8921 0.0530138
58981.4054745 2 18.5982 0.0782521
58981.2856944 2 18.6518 0.0819313
58980.3157523 2 18.921 0.103542
58980.2782986 2 19.0489 0.0984082
58979.3474306 2 19.3893 0.149036
58978.3101736 2 19.8429 0.208635
