ZTF19aaycomi 0.030000 Ia
58745.1714815 2 20.2674 0.212345
58733.3949537 2 19.8054 0.186154
58730.3825347 2 19.9259 0.152323
58730.3784375 2 19.7766 0.135394
58724.3779977 2 19.7118 0.162724
58721.314213 2 19.3161 0.273345
58716.3888079 2 19.5915 0.133426
58716.3784144 2 19.3866 0.139319
58712.3761921 2 19.2525 0.193594
58706.3975579 2 19.0806 0.0907848
58706.3970949 2 19.2471 0.0833402
58703.4181481 2 19.0884 0.0577058
58700.4194792 2 18.9305 0.0816968
58698.4338079 2 18.8839 0.0719373
58697.4193519 2 18.8035 0.0705813
58697.4123611 2 18.8317 0.0767992
58695.4975347 2 18.7297 0.0911019
58694.3997685 2 18.7285 0.0728089
58694.3833912 2 18.656 0.0721365
58691.4199306 2 18.5792 0.0747228
58691.4055787 2 18.5856 0.068978
58688.4369444 2 18.4516 0.079678
58688.4099537 2 18.4701 0.060295
58681.4389583 2 17.9499 0.0654078
58681.4333449 2 17.9509 0.0694848
58678.4776736 2 17.79 0.0524369
58674.4880093 2 17.6685 0.048632
58672.4630093 2 17.604 0.0452033
58671.4343866 2 17.6443 0.0819804
58669.4192824 2 17.5052 0.0465791
58668.3715509 2 17.5001 0.0353318
58666.4225463 2 17.4101 0.0402761
58665.4418056 2 17.3546 0.0437645
58661.428125 2 17.1125 0.0409107
58658.4130324 2 17.0056 0.0343186
58655.4422917 2 16.9603 0.041577
58653.4425 2 17.018 0.0296444
58652.4565856 2 17.0022 0.0368729
58650.4254051 2 17.1385 0.0381042
58644.4791782 2 18.0446 0.0440492
58641.4791204 2 19.1748 0.0863834
