ZTF19aczlldp 0.027500 II
58913.1158796 1 18.7855 0.130258
58905.129919 1 18.7244 0.134796
58900.1392708 1 18.7102 0.0861168
58894.1665509 1 18.7611 0.0893931
58891.1644444 1 18.7292 0.0817117
58887.1997222 1 18.7958 0.145364
58884.1048727 1 18.6439 0.228779
58877.171956 1 18.6122 0.0936502
58874.1666204 1 18.5544 0.0726822
58871.1523611 1 18.5434 0.0622283
58862.1414815 1 18.1713 0.0632503
58859.1068519 1 18.0732 0.0745151
58850.168912 1 17.7473 0.0522474
58836.1295718 1 18.198 0.0592448
