ZTF19aaupkrl 0.036665 Ia
58694.2189352 1 19.3225 0.136097
58692.2258333 1 19.6045 0.124419
58683.2735417 1 19.6816 0.180879
58682.1790046 1 19.53 0.136355
58674.1969792 1 19.42 0.133905
58668.198206 1 19.3752 0.129477
58654.3028472 1 18.7961 0.102018
58651.1841204 1 18.4373 0.0827391
58642.3059491 1 17.5243 0.0463174
58636.2842708 1 17.0411 0.035835
58633.2647685 1 16.9147 0.0318735
58616.2575463 1 19.0492 0.150469
