ZTF18acpefgk 0.110000 Ia
58881.2929745 2 20.1432 0.202381
58878.3139468 2 20.1075 0.225327
58875.2725347 2 20.1044 0.195134
58860.3553935 2 19.5368 0.287568
58852.4355556 2 20.2008 0.223956
58792.5019097 2 20.1065 0.203893
58789.5249653 2 20.1466 0.212836
58761.5034375 2 20.0421 0.228929
58598.1482523 2 20.1227 0.199686
58584.1518287 2 20.1381 0.371679
58567.2099653 2 20.2627 0.184753
58559.2464352 2 19.8932 0.266827
58547.1926389 2 20.206 0.210025
58523.2104745 2 20.3199 0.198557
