ZTF20aavnnat 0.032206 Ia
58987.4125347 1 18.1164 0.0601377
58987.4120718 1 18.1222 0.0505366
58986.3991551 1 17.975 0.0480401
58986.3845139 1 18.0043 0.0470133
58985.4248495 1 17.8361 0.0623574
58985.3076852 1 17.8345 0.0512745
58981.3006019 1 17.3398 0.0431866
58981.3001389 1 17.3313 0.0401367
58980.4095139 1 17.2538 0.0397167
58980.406169 1 17.2257 0.0547465
58979.2637384 1 17.1435 0.052943
58979.2430324 1 17.1139 0.0479171
58978.4003704 1 17.0637 0.0469411
58978.3853356 1 17.0795 0.046331
58977.3667593 1 17.016 0.0671827
58977.3606713 1 16.9738 0.0443447
58976.4730093 1 16.977 0.0585323
58976.4715972 1 16.9767 0.043453
58975.2690278 1 16.9249 0.0503999
58975.2676273 1 16.9297 0.0398552
58974.4646296 1 16.9449 0.0421466
58974.4641667 1 16.9314 0.03879
58973.4474537 1 16.9361 0.0411577
58973.4469907 1 16.9146 0.035627
58972.4529977 1 16.9707 0.0400052
58972.4525347 1 16.9887 0.0429311
58971.4577894 1 17.0374 0.0408475
58971.4234606 1 17.0361 0.0349106
58970.4497454 1 17.0888 0.032189
58970.4483333 1 17.1357 0.029836
58968.4561574 1 17.3649 0.0410276
58968.4429861 1 17.3539 0.0519189
58967.4277199 1 17.5271 0.0461639
58967.4259144 1 17.5563 0.04482
58966.4281597 1 17.7561 0.0555346
58966.4248611 1 17.7326 0.0510259
58965.4162269 1 18.0145 0.062803
58964.3866667 1 18.2993 0.0726813
58964.3638889 1 18.2653 0.0626882
58963.5034375 1 18.5829 0.121653
58963.5029745 1 18.678 0.103033
58963.4378241 1 18.5915 0.0817142
58963.4331366 1 18.6068 0.103909
58963.3830093 1 18.5928 0.0734219
58963.3825347 1 18.622 0.0714519
58962.5015972 1 19.0046 0.104288
58962.4993519 1 18.9147 0.097358
58962.3686458 1 19.0729 0.101466
