ZTF19aabyheu 0.021000 Ia
58612.1760532 1 19.8548 0.179868
58608.2066088 1 19.6878 0.115353
58605.2122801 1 19.7114 0.145935
58597.2550231 1 19.6453 0.158266
58591.1830208 1 19.4979 0.210734
58587.2481481 1 19.4906 0.237115
58581.2104167 1 19.4794 0.130409
58572.206331 1 19.4488 0.176538
58567.2056019 1 19.1774 0.12882
58562.2519329 1 18.859 0.232963
58559.3090741 1 19.0975 0.155542
58556.3560301 1 19.0644 0.145037
58541.2693171 1 18.5911 0.114994
58538.2791551 1 18.4265 0.125773
58526.4231366 1 17.6111 0.0742067
58522.4291898 1 17.1515 0.0500734
58522.4113426 1 17.158 0.0436362
58507.5098148 1 16.2941 0.0317515
58507.4690625 1 16.2879 0.0337865
58502.4406944 1 16.2451 0.0378449
58494.4827546 1 17.1289 0.0423022
58491.4541782 1 18.0726 0.0676751
