ZTF18abuhzfc 0.038000 Ia
58428.2119676 1 20.0284 0.184796
58422.2662384 1 19.7905 0.183029
58397.3408218 1 18.0357 0.0515414
58389.3378819 1 17.4071 0.0550638
58385.3746875 1 17.22 0.0608846
58379.3745718 1 17.2616 0.0381984
58376.3314352 1 17.5414 0.0427481
58373.3792014 1 18.0716 0.0780731
58370.3955903 1 19.0288 0.0966422
