ZTF18acmzpbf 0.036000 Ia
58558.2011574 2 18.7053 0.121304
58547.1217593 2 18.6118 0.101264
58540.2359491 2 18.6203 0.0956694
58534.3283449 2 18.6521 0.122589
58526.2184491 2 20.3383 0.267314
58522.2213889 2 19.9093 0.153092
58522.2027662 2 20.1191 0.170847
58509.2634606 2 19.7453 0.190221
58509.261088 2 19.7335 0.175912
58493.2827083 2 19.0823 0.09224
58493.277963 2 19.1405 0.0976648
58490.1969329 2 18.9949 0.0893693
58490.1964583 2 18.9143 0.0989012
58486.4475 2 18.7235 0.113153
58486.4455671 2 18.6522 0.0777229
58481.4546991 2 18.4561 0.0712496
58480.4277083 2 18.418 0.072194
58480.3224769 2 18.4257 0.0670123
58476.4358565 2 18.3281 0.0813371
58474.3396296 2 18.3133 0.0865404
58474.3223148 2 18.2965 0.0962556
58471.2800579 2 18.2873 0.0933215
58471.267037 2 18.2115 0.0989521
58471.2448611 2 18.2542 0.161277
58464.3035069 2 17.9562 0.0619777
58464.302581 2 17.964 0.0622069
58461.5187847 2 17.7396 0.0679927
58461.5145486 2 17.7403 0.0532668
58455.4874884 2 17.4524 0.0605955
58455.366956 2 17.463 0.0354645
58455.2783449 2 17.4872 0.0430973
58450.3850116 2 17.5065 0.0456235
58450.3825926 2 17.5277 0.0505947
58447.5039005 2 17.6309 0.0581743
58447.4154051 2 17.6779 0.0587324
58447.4139583 2 17.6869 0.0648593
58447.3105208 2 17.682 0.0710109
58443.4226852 2 18.1573 0.0637223
58443.3781019 2 18.1662 0.0641275
58440.5175116 2 18.917 0.0767929
58437.3826852 2 20.2319 0.189027
