ZTF18aaxqyki 0.100000 Ia
58311.2022917 2 19.882 0.153514
58308.2421644 2 19.7648 0.118285
58302.3093981 2 19.6388 0.200373
58299.3448958 2 19.4286 0.151039
58293.2470139 2 18.9905 0.104382
58290.2621644 2 18.8904 0.0996072
58287.2616898 2 18.9032 0.0494871
58284.2815278 2 18.8533 0.0556642
58281.220162 2 18.9656 0.0562396
58278.2620833 2 19.3141 0.0777707
