ZTF18aakpigz 0.075000 Ic
58871.5133565 2 19.9565 0.208805
58871.5124537 2 19.8666 0.171789
58866.5192708 2 20.1645 0.307235
58862.3816551 2 19.6968 0.163591
58860.3126273 2 19.4835 0.257233
58859.4731597 2 19.4195 0.152462
58859.3087963 2 19.2943 0.218263
58855.5584375 2 19.1838 0.10841
58852.5783681 2 19.1011 0.114565
58852.5534375 2 19.1538 0.089297
58846.5772569 2 18.8873 0.0964016
58836.4830903 2 18.3515 0.0582357
58833.4908449 2 18.195 0.0730498
58833.447419 2 18.1861 0.106567
58827.4420949 2 18.2403 0.0920477
58279.1757407 2 19.8569 0.167994
