ZTF20aaepsqa 0.047170 Ia
58880.1299421 1 20.0713 0.269691
58877.1705556 1 19.6449 0.154257
58876.15625 1 19.6098 0.124582
58876.15625 1 19.604 0.122375
58874.1712847 1 19.4262 0.139971
58871.1716898 1 19.0746 0.124781
58867.2067477 1 18.9709 0.0923886
58867.1471065 1 18.7964 0.154102
58862.1479051 1 18.8997 0.0851727
58861.1024306 1 18.9177 0.115496
58859.1095602 1 19.0722 0.205482
58856.1229977 1 19.6541 0.276563
