ZTF19acbwhqc 0.076000 Ia
58777.0906597 2 19.0164 0.177046
58777.0902083 2 19.0979 0.174793
58775.0930093 2 18.8293 0.116309
58768.1184259 2 18.8335 0.143524
58768.1175116 2 18.9009 0.105414
58765.120787 2 18.8609 0.113813
58765.1198843 2 18.9138 0.115238
58761.1084722 2 19.1647 0.155105
58761.1080093 2 19.2767 0.139867
58761.1075579 2 19.1893 0.136713
