ZTF19aakiyly 0.070000 Ia
58602.2963773 2 20.3501 0.195556
58597.354919 2 20.3882 0.227304
58591.3791204 2 19.7928 0.278138
58586.3163889 2 19.9259 0.215075
58583.3336458 2 19.799 0.263567
58580.3941782 2 19.6636 0.117414
58575.4152546 2 19.4589 0.101428
58567.3780787 2 19.0068 0.0987076
58556.4372801 2 18.845 0.078546
58547.4794213 2 18.3325 0.0718991
58541.4818171 2 18.1841 0.0543795
58538.4809144 2 18.1343 0.104876
58526.5076852 2 19.5923 0.187488
58522.5411458 2 21.0229 0.324976
