ZTF20aavcvrm 0.055000 Ic-BL
58987.3309838 2 19.7462 0.122327
58986.2903704 2 19.6342 0.119546
58985.3823611 2 19.552 0.119384
58984.4058333 2 19.5071 0.116284
58981.2880324 2 19.2771 0.148677
58980.2764236 2 19.3312 0.110938
58979.3388079 2 19.1509 0.140347
58978.2965856 2 19.1087 0.16099
58974.3394213 2 19.0689 0.117253
58974.304919 2 19.0261 0.128398
58973.3525347 2 19.0188 0.124472
58972.4190162 2 18.9419 0.096764
58970.3764815 2 18.8951 0.0782824
58969.3723148 2 18.8973 0.17461
58968.3938426 2 18.8749 0.0879731
58968.3758796 2 18.8735 0.0721872
58967.3854167 2 18.9185 0.0901574
58966.3927431 2 18.917 0.0906568
58965.3473843 2 19.0477 0.112924
58962.3293981 2 19.1851 0.106552
58961.3978588 2 19.1689 0.17156
58956.3394792 2 19.9622 0.246507
58955.4381019 2 20.263 0.223792
