ZTF19abcndvf 0.048700 Ia
58693.24875 1 19.3768 0.213485
58690.1988773 1 19.0291 0.119217
58686.1741782 1 18.6602 0.0900564
58683.1756597 1 18.3186 0.0888509
58680.1779167 1 18.0574 0.119758
58677.1824769 1 17.966 0.0846012
58674.2002431 1 17.8555 0.067042
58668.1941898 1 18.1283 0.0580645
58665.1957292 1 18.8147 0.0801255
