ZTF20aaqbach 0.023000 II
58980.2530671 2 19.8064 0.153916
58978.2882176 2 19.6789 0.177409
58971.2125116 2 19.8198 0.245795
58968.2008333 2 19.7091 0.12846
58964.269456 2 19.7561 0.158672
58955.2811921 2 19.6215 0.172031
58915.4036574 2 19.2174 0.181308
58914.3778704 2 19.3231 0.136506
58913.4453356 2 19.3818 0.121311
58911.4463657 2 19.4488 0.189148
58906.4459259 2 19.4421 0.126173
58900.4375231 2 20.2678 0.19462
