ZTF19acekreh 0.034890 Ia
58894.5662153 1 20.3537 0.381237
58893.4894676 1 20.2361 0.333054
58879.5133218 1 20.1789 0.330626
58878.5377083 1 20.382 0.279343
58876.5335301 1 20.0338 0.181273
58876.5335301 1 20.0393 0.182456
58875.4864583 1 20.0272 0.203817
58873.5518866 1 20.0173 0.18036
58864.4662269 1 19.7393 0.205078
58854.5564005 1 19.8138 0.307154
58851.5571528 1 19.7251 0.158284
58851.5519792 1 19.8693 0.231991
58837.5514699 1 19.2474 0.346391
58805.1013542 1 18.1155 0.124935
58798.1030208 1 17.3856 0.0641716
58795.1111458 1 17.1131 0.0453886
58789.1239699 1 16.7372 0.0364424
58789.1234954 1 16.7156 0.049409
58785.118206 1 16.5224 0.0361789
58785.1173032 1 16.5628 0.032727
58781.1158333 1 16.4821 0.0451641
58781.1144444 1 16.4762 0.0414174
58778.1208102 1 16.5669 0.0424397
58778.1199074 1 16.5686 0.0463496
58775.1199653 1 16.7792 0.0399367
58775.1157755 1 16.8264 0.0418161
58772.1208912 1 17.2476 0.0533489
58771.1124421 1 17.4866 0.0510235
58769.2027662 1 18.0904 0.135108
