ZTF19abpgggu 0.049100 Ia
58775.1375116 2 19.8556 0.162234
58768.1399653 2 19.058 0.19505
58764.1505324 2 19.4185 0.135997
58759.3617593 2 19.4499 0.0885374
58756.3945139 2 19.1778 0.0899321
58743.3573264 2 18.6025 0.102006
58739.4001157 2 18.7074 0.073488
58736.4376042 2 18.5789 0.0505142
58727.4834606 2 18.067 0.0390752
58718.463588 2 18.0214 0.0767409
58715.4401505 2 18.2493 0.0618755
58712.425162 2 18.5462 0.0680653
58709.401956 2 19.2793 0.119584
58706.4844907 2 20.3493 0.158212
