ZTF18abvglon 0.050000 Ia
58440.5114931 2 20.1356 0.147142
58437.5291551 2 20.2121 0.154267
58432.5313889 2 20.0403 0.194406
58429.5126736 2 20.0155 0.11726
58425.4708333 2 19.7304 0.187198
58423.5293866 2 19.6829 0.203247
58422.5326389 2 19.7306 0.169014
58389.5289583 2 18.5179 0.109386
58388.5298264 2 18.5006 0.121709
58385.5282292 2 18.2594 0.0927862
58378.5103356 2 18.0474 0.0634623
58375.5219444 2 18.0373 0.0735958
58372.5219444 2 18.0023 0.0651661
