ZTF19aaujiwc 0.038000 Ia
58657.1913079 1 20.0302 0.200114
58651.1910532 1 19.4902 0.288777
58645.2333565 1 19.0493 0.151657
58642.1914931 1 18.6872 0.0965821
58639.232662 1 18.4102 0.0629198
58636.251713 1 18.1691 0.0688654
58633.2555671 1 17.8619 0.0498815
58628.2138773 1 17.5001 0.045216
58616.2325347 1 17.4391 0.0448909
58612.2725231 1 17.8589 0.0515717
