ZTF18abjvhec 0.056900 Ia
58370.174213 1 19.7261 0.153831
58365.2174653 1 19.2284 0.147469
58362.1930093 1 19.078 0.118123
58350.2382986 1 17.8339 0.0627425
58346.1583333 1 17.6762 0.0542618
58343.1736111 1 17.561 0.0408161
58337.1815394 1 17.5469 0.0412279
58334.1788426 1 17.6934 0.0466227
58331.2405787 1 18.0253 0.0719349
