ZTF20aaifzfk 0.031810 II
58985.2880671 2 19.7793 0.142211
58984.4039468 2 19.651 0.149443
58981.2894444 2 19.6588 0.169098
58980.3104051 2 19.5244 0.133848
58979.2990278 2 19.5316 0.192869
58978.2960532 2 19.463 0.200669
58975.3797106 2 19.1293 0.157669
58974.3179282 2 19.5649 0.185823
58973.335706 2 19.4749 0.146245
58973.3102894 2 19.358 0.141868
58971.4165625 2 19.365 0.119261
58970.3964931 2 19.3739 0.0990939
58969.3744213 2 19.2407 0.260809
58968.378125 2 19.3308 0.105535
58967.3779745 2 19.2502 0.121043
58966.3790972 2 19.2963 0.104196
58965.3492593 2 19.2819 0.0972886
58964.4026736 2 19.2787 0.0890031
58962.3312153 2 19.1742 0.104293
58961.3990625 2 19.1688 0.195133
58956.3506829 2 19.2061 0.146943
58953.4410069 2 19.1892 0.104115
58943.4620602 2 19.051 0.11372
58939.4325926 2 18.9944 0.170786
58936.4416667 2 19.035 0.0854365
58914.5409954 2 18.9787 0.0838783
58911.496331 2 18.9235 0.112785
58906.5197338 2 18.7573 0.152181
58898.5392014 2 18.8349 0.072054
58893.5243634 2 18.8106 0.104332
58886.5617245 2 18.8168 0.0996457
58883.5598958 2 18.849 0.13672
58879.5437616 2 18.8935 0.119927
58876.5614352 2 18.9513 0.0940203
58873.538669 2 18.9043 0.113982
