ZTF20aavvaup 0.032668 II
58986.2387963 2 17.8181 0.0479234
58980.2401273 2 17.7841 0.0502501
58977.2259375 2 17.8506 0.0827894
58974.2465741 2 17.9428 0.0702728
58972.2028588 2 18.0775 0.0646871
58971.1810185 2 18.2495 0.0616376
58971.1763079 2 18.1761 0.0567492
58968.1715972 2 18.4846 0.0730751
58965.1829051 2 18.935 0.0578226
