ZTF19aaeicsm 0.062000 Ia
58567.1263194 2 20.0671 0.183152
58556.1907523 2 19.4439 0.176684
58547.1716204 2 19.1091 0.0859312
58534.2278241 2 18.7406 0.164556
58526.2282986 2 18.2471 0.0721673
58522.2269329 2 18.0951 0.0522494
58510.2915046 2 18.4475 0.086154
58508.2584954 2 18.8235 0.0876378
58508.24125 2 18.8359 0.0851246
58507.2796065 2 19.0477 0.0848316
