ZTF19acxyfkf 0.040000 Ia
58898.2041898 1 20.6211 0.197006
58895.1608218 1 20.4386 0.234154
58881.1802083 1 20.2139 0.272795
58867.2185301 1 19.8342 0.156924
58864.1707523 1 19.5803 0.126705
58864.1655324 1 19.564 0.122112
58861.1154398 1 19.2562 0.172252
58860.1183565 1 19.027 0.189307
58859.1444097 1 19.0991 0.221352
58856.1006944 1 18.716 0.134495
58855.1799884 1 18.6246 0.124213
58854.4913657 1 18.5704 0.121811
58853.4514815 1 18.4427 0.0801191
58852.4723495 1 18.3446 0.0748217
58851.180706 1 18.1509 0.128698
58850.4287384 1 18.1543 0.076289
58849.4770949 1 18.0559 0.0500814
58846.2446296 1 17.8273 0.0484148
58833.50625 1 17.8162 0.0670494
58828.452963 1 18.8301 0.128466
