ZTF19abuzinv 0.020000 II
58876.1497569 1 20.8398 0.381752
58876.1497569 1 20.839 0.384459
58864.1425926 1 20.9445 0.289409
58853.1145139 1 19.6951 0.280803
58850.1731366 1 20.256 0.271967
58850.1605208 1 20.4235 0.300952
58849.0996644 1 20.3023 0.214283
58836.1337037 1 19.4775 0.122681
58833.1839699 1 19.3733 0.176037
58831.2069676 1 19.4702 0.196982
58831.1441782 1 19.3914 0.241993
58830.1848032 1 19.3168 0.21872
58830.1286574 1 19.2208 0.216486
58828.1220255 1 19.2652 0.321845
58820.1632755 1 19.2698 0.293503
58819.2136227 1 19.2916 0.104216
58814.237037 1 19.3336 0.150378
58813.1901968 1 19.2891 0.188315
58813.1792245 1 19.409 0.178821
58812.1551157 1 19.3009 0.152482
58811.2363079 1 19.3298 0.151185
58811.2165162 1 19.2711 0.141917
58806.1982292 1 19.3465 0.136425
58803.1903704 1 19.2885 0.131317
58802.2348495 1 19.3816 0.181459
58802.206169 1 19.2638 0.148212
58801.2279861 1 19.135 0.286651
58801.2018866 1 19.4003 0.333132
58797.2277315 1 19.3393 0.196273
58795.2561574 1 19.2844 0.219313
58791.2861227 1 19.3454 0.122219
58791.2856713 1 19.3637 0.157786
58790.2796065 1 19.2939 0.129396
58789.3691667 1 19.3324 0.138655
58788.3591319 1 19.3339 0.114661
58785.377419 1 19.2196 0.129756
58781.3803125 1 19.4115 0.211896
58766.4247222 1 19.2625 0.146709
58763.3988542 1 19.3927 0.142043
58759.4061111 1 19.3182 0.10837
58756.4033681 1 19.3603 0.132389
58749.3251157 1 19.2293 0.145146
58746.3899421 1 19.1938 0.168729
58743.4133681 1 19.0687 0.257725
58739.5177083 1 19.1481 0.160423
58736.4624653 1 19.2018 0.115198
58733.4640162 1 19.166 0.113902
58730.4754514 1 19.3804 0.139234
