ZTF20aannodx 0.090000 Ia
58938.1635532 2 19.6484 0.208421
58915.1371065 2 18.9584 0.129248
58915.1366551 2 18.898 0.118344
58913.1968056 2 18.9477 0.148899
58912.2011806 2 18.9716 0.0958263
58912.1754977 2 18.9703 0.148346
58909.1544329 2 18.8277 0.192041
58909.1398611 2 18.8846 0.216947
58906.2026273 2 18.8882 0.12075
58904.199213 2 18.9313 0.0907192
58903.1768519 2 19.0268 0.12001
58898.1562731 2 19.5499 0.159439
58898.1558218 2 19.4824 0.117658
