ZTF18aaunfqq 0.071090 Ia
58299.3486458 2 19.4556 0.213441
58296.2451157 2 19.702 0.200413
58293.2660069 2 19.3241 0.124894
58290.2579861 2 19.2075 0.12548
58287.2593634 2 19.0845 0.0614363
58284.2881597 2 19.2284 0.0801735
58281.218287 2 18.9956 0.0580709
58278.2634838 2 18.7976 0.0492547
58275.3457292 2 18.5751 0.0407021
58272.25 2 18.4329 0.0431937
58269.25 2 18.359 0.0676738
58266.25 2 18.5315 0.0864831
