ZTF19aafnecv 0.038622 Ia
58586.4899884 2 19.6402 0.114514
58580.4637616 2 19.467 0.143601
58575.4410532 2 19.291 0.109799
58572.4760185 2 19.2116 0.129265
58567.5234838 2 19.0564 0.165401
58560.4768056 2 18.6427 0.0933584
58556.5068171 2 18.5076 0.107395
58526.5272569 2 17.2165 0.0429144
58511.5460185 2 17.66 0.0640645
