ZTF20aabqjht 0.080000 Ia
58911.4284375 1 20.4288 0.257445
58906.5404282 1 20.1842 0.309641
58898.4436921 1 20.0742 0.194525
58893.4997454 1 19.4878 0.174304
58890.5616551 1 19.21 0.331862
58887.4756019 1 19.214 0.166682
58884.4758565 1 18.9015 0.105163
58881.506875 1 18.6732 0.100481
58878.5264005 1 18.3658 0.0768698
58875.4612963 1 18.2186 0.077009
58872.4452546 1 18.0772 0.08973
58863.4538542 1 17.8758 0.0701577
58856.5580903 1 18.3441 0.0434966
58853.5269907 1 18.8588 0.0613264
58850.5480093 1 19.5561 0.123503
