ZTF19accstol 0.083000 Ia
58797.5315278 2 19.7747 0.147528
58791.480544 2 19.445 0.125598
58785.5010995 2 19.3376 0.11827
58783.4965741 2 19.4774 0.162759
58771.4619097 2 18.9115 0.174037
58770.4827431 2 18.7466 0.112042
58770.4570949 2 18.7606 0.11401
58764.485706 2 19.0163 0.0862659
58760.5094676 2 19.6484 0.169199
