ZTF20aaekbdr 0.045800 II
58899.213044 1 20.8885 0.304199
58896.2317708 1 20.9826 0.336699
58880.2344097 1 19.9384 0.246165
58877.2320486 1 20.0038 0.191496
58871.2284375 1 19.6338 0.163959
58871.2279861 1 19.5063 0.146431
58867.3855787 1 19.5514 0.16584
58867.3851273 1 19.5571 0.12969
58864.2074537 1 19.4778 0.135386
58864.2070023 1 19.4047 0.143571
