ZTF19acbpwwg 0.090000 Ia
58794.1331019 1 19.9714 0.341581
58793.1425231 1 19.8268 0.276092
58791.1320486 1 19.5819 0.15688
58790.1031597 1 19.4444 0.156779
58789.1188889 1 19.4821 0.185707
58779.1149537 1 18.4943 0.0858717
58776.1150116 1 18.326 0.0782108
58773.1167708 1 18.2132 0.106
58764.2491782 1 18.2494 0.0901776
58760.1351505 1 18.6781 0.11896
58754.2666435 1 20.3786 0.233869
