ZTF18aceqrrs 0.084800 Ic
58494.4564005 2 19.47 0.122565
58493.4700463 2 19.5688 0.128505
58486.4996528 2 19.3883 0.123912
58481.473912 2 19.2817 0.125307
58476.4587037 2 19.4497 0.166325
58474.4764236 2 19.2343 0.155166
58464.5422106 2 19.8555 0.150158
58461.5411458 2 19.7979 0.203493
58449.4565046 2 19.2806 0.155678
58447.4808333 2 19.3301 0.158153
58442.4162153 2 18.9412 0.157754
58439.556331 2 18.8195 0.115932
58432.5383449 2 18.9915 0.108499
58429.5221759 2 19.4472 0.116678
