ZTF19abwouqp 0.065000 Ia
58785.244919 2 20.134 0.197061
58781.245463 2 19.8261 0.147269
58777.2044097 2 19.5139 0.127568
58774.1974537 2 19.2809 0.118863
58771.2691667 2 19.2599 0.170039
58763.173912 2 19.1397 0.0947516
58762.1725694 2 19.1382 0.106067
58761.1728241 2 19.1419 0.108746
58760.1737963 2 19.1044 0.0863744
58758.1813773 2 19.0645 0.0847657
58754.1721644 2 18.9179 0.0799344
58751.1724653 2 18.6326 0.0836957
58750.1748264 2 18.5389 0.0723729
58749.1745255 2 18.5136 0.0735808
58748.1729977 2 18.492 0.079166
58747.1738657 2 18.4686 0.0578725
58746.1985301 2 18.4641 0.0863328
58745.1739468 2 18.5064 0.0628106
58744.173831 2 18.4734 0.0658623
58743.1748264 2 18.4313 0.101021
58741.1737384 2 18.4638 0.130853
58739.1731366 2 18.4946 0.11037
58738.1742245 2 18.7797 0.162706
58736.4169213 2 18.8586 0.0689843
58733.3917245 2 19.2727 0.0852286
58730.3811806 2 19.9324 0.125949
