ZTF19abrcvzz 0.073000 Ia
58761.193044 1 20.2838 0.291004
58760.1940278 1 20.2213 0.227436
58758.2096644 1 20.2044 0.195695
58754.1928588 1 19.7921 0.144384
58751.1931597 1 19.5528 0.185712
58750.1955324 1 19.271 0.128101
58749.1952315 1 19.3284 0.116971
58748.1934491 1 19.1802 0.151344
58747.1945718 1 19.0758 0.110194
58745.1946759 1 18.9226 0.104552
58744.1945486 1 18.8737 0.103505
58743.195544 1 18.7265 0.131857
58742.1952315 1 18.6065 0.273586
58741.1949769 1 18.5941 0.134628
58740.1981019 1 18.481 0.115723
58739.1983333 1 18.5125 0.127263
58738.1992824 1 18.4169 0.13616
58736.4497917 1 18.3016 0.0834813
58730.3070949 1 18.2138 0.0686225
58725.3223495 1 18.3673 0.0806537
