ZTF18aaayemw 0.052000 II
58986.2411343 2 19.3732 0.102867
58980.2382523 2 19.3007 0.109283
58974.2282986 2 19.3942 0.142645
58972.1667014 2 19.2638 0.126185
58971.180544 2 19.3019 0.145015
58971.1518171 2 19.2826 0.127768
58968.1802778 2 19.3698 0.109039
58962.1847917 2 19.3474 0.111124
58954.2175926 2 19.3106 0.119234
58944.1597685 2 19.3388 0.173209
58941.2170139 2 19.2053 0.119806
58938.1770255 2 19.3568 0.0988206
58915.1537963 2 19.2566 0.146249
58913.2032407 2 19.4767 0.174974
58912.2198611 2 19.2283 0.10862
58909.3085995 2 19.3209 0.143855
58906.219838 2 19.2414 0.112819
58903.2202894 2 19.2815 0.100898
58900.2152315 2 19.3465 0.101805
58899.2864468 2 19.3194 0.097282
58899.2423148 2 19.3215 0.109045
58896.2819329 2 19.2445 0.0997258
58896.2599653 2 19.2748 0.0880902
58895.2663426 2 19.2859 0.106326
58894.2653935 2 19.3136 0.120762
58893.2852083 2 19.2617 0.105042
58893.2843056 2 19.3493 0.12352
58892.2768171 2 19.3197 0.105918
58892.2499421 2 19.3495 0.129213
58891.2892824 2 19.3021 0.126805
58890.1814699 2 19.1961 0.19963
58890.1805671 2 19.2286 0.21482
58887.1524306 2 19.1743 0.151878
58886.2639236 2 19.309 0.150522
58886.2572917 2 19.1637 0.142658
58885.2166898 2 19.207 0.213661
58884.1797801 2 19.3428 0.297202
58883.2588194 2 19.2934 0.119637
58883.2579167 2 19.3073 0.178614
58882.1855208 2 19.2947 0.156016
58881.3267708 2 19.3 0.103676
58880.323912 2 19.2636 0.107818
58880.3221181 2 19.238 0.109071
58879.3057755 2 19.2569 0.153733
58878.3015394 2 19.2122 0.107585
58877.3077083 2 19.3224 0.116353
58877.3068171 2 19.26 0.103639
58876.2863657 2 19.2668 0.0903431
58875.286088 2 19.3389 0.122974
58874.2789352 2 19.3068 0.113206
58874.2775694 2 19.2138 0.148996
58873.2821644 2 19.278 0.105551
58871.3088079 2 19.1862 0.0946157
58871.3039815 2 19.2255 0.109625
58871.2901736 2 19.2924 0.139964
58863.3441435 2 19.2804 0.122371
58862.3296065 2 19.2771 0.16292
58860.3495833 2 19.2794 0.218813
58860.2903472 2 19.3595 0.217757
58859.2775 2 19.5139 0.281949
58856.3027662 2 19.3177 0.132975
58855.3646644 2 19.1712 0.141867
58852.422581 2 19.3065 0.0859387
58851.4485069 2 19.3243 0.11558
58849.4369907 2 19.3077 0.106771
58846.4465509 2 19.3081 0.0931631
58836.4898727 2 19.3598 0.108987
58835.4546991 2 19.4185 0.189819
58833.4228009 2 19.2334 0.216295
58833.4173495 2 19.1936 0.166208
58828.3121991 2 19.3144 0.16283
58827.446331 2 19.4413 0.200241
58806.5472454 2 19.4162 0.114415
58799.3773264 2 19.1872 0.150464
58794.5409491 2 19.3163 0.116638
58791.5109722 2 19.3457 0.110805
58788.5366782 2 19.3124 0.114627
58785.4962616 2 19.3185 0.124427
58776.5042824 2 19.2587 0.150927
58769.4728125 2 19.129 0.177863
58766.5316204 2 19.2649 0.128936
58748.4922917 2 19.2761 0.15561
58745.4892245 2 19.2353 0.177555
58642.2170255 2 19.349 0.164156
58638.2146759 2 19.3229 0.198096
58634.1804398 2 19.3359 0.128878
58617.2247685 2 19.2537 0.131691
58601.2630903 2 19.3109 0.105627
58594.1652083 2 19.2879 0.10967
58591.3370718 2 19.0818 0.216675
58580.2148611 2 19.3037 0.131738
58575.2152315 2 19.3431 0.189321
58572.2204398 2 19.1602 0.157341
58567.2196181 2 19.2473 0.0809971
58559.2379977 2 19.334 0.195466
58556.2015162 2 19.2853 0.182247
58534.3581134 2 19.2344 0.227154
58514.4115972 2 19.3248 0.166208
58508.2384954 2 19.312 0.121679
58505.5300579 2 19.2131 0.233663
58502.5083796 2 19.2758 0.27551
58491.2609722 2 19.3483 0.115512
58486.4659028 2 19.2595 0.0875785
58480.4296065 2 19.2051 0.113277
58471.532581 2 19.3732 0.118651
58468.5097338 2 19.3199 0.100582
58465.4703125 2 19.2727 0.0963165
58455.5337269 2 19.2556 0.167774
58455.4837616 2 19.3311 0.105581
58450.5371759 2 19.2886 0.117068
58447.5085764 2 19.3246 0.146533
58447.4509722 2 19.3603 0.162159
58443.4331366 2 19.3421 0.123149
58440.5124537 2 19.3202 0.116567
58437.5259375 2 19.2869 0.100404
58434.4916088 2 19.3152 0.173654
58431.5151968 2 19.2655 0.145239
58428.5064815 2 19.3069 0.104376
58425.4726852 2 19.3931 0.118868
58422.5312616 2 19.3423 0.135214
58390.5089236 2 19.4387 0.115422
58387.4901505 2 19.4484 0.177919
58374.5121528 2 19.4232 0.13924
