ZTF18acmznfc 0.084000 Ia
58464.3301968 1 19.6528 0.185262
58464.3173032 1 19.272 0.115814
58450.4598264 1 18.4058 0.0814247
58450.4563773 1 18.4375 0.0668649
58443.5258333 1 18.5909 0.0780353
58443.2873843 1 18.5974 0.115537
58443.2809259 1 18.5883 0.109847
58441.4778588 1 18.7315 0.0801951
58440.4200347 1 18.9323 0.150208
58439.4264699 1 19.1501 0.109095
58439.4251042 1 19.0963 0.0956595
58438.4432176 1 19.3744 0.10738
58438.4225347 1 19.331 0.106822
58438.4161111 1 19.552 0.144601
58437.4785995 1 19.4559 0.105105
58437.4758102 1 19.4987 0.138855
58437.4710532 1 19.4563 0.146775
