ZTF19aanhlxe 0.069000 Ia
58616.1698264 2 20.0411 0.216469
58612.2465741 2 19.7731 0.133223
58606.2121991 2 19.5584 0.153527
58600.2775 2 19.1485 0.118543
58596.26 2 19.0298 0.130159
58592.2932176 2 18.9284 0.232524
58586.3333796 2 18.7156 0.104679
58583.3001273 2 18.5531 0.0849398
58580.3160417 2 18.465 0.0868192
58575.3754514 2 18.3251 0.141935
58572.3580671 2 18.4677 0.109219
58567.3622801 2 18.801 0.0995722
