ZTF18aaxdrjn 0.033900 Ia
58322.2439815 2 19.3023 0.171148
58319.2127894 2 19.204 0.196638
58300.1851042 2 17.9465 0.0423034
58300.1837037 2 17.9909 0.0569247
58297.2564699 2 17.8073 0.0726575
58297.2545718 2 17.8716 0.0642518
58294.2390625 2 17.8119 0.0551069
58294.2362847 2 17.807 0.0550449
58291.2490046 2 17.7165 0.0469125
58291.2418981 2 17.7124 0.052696
58288.2475926 2 17.5273 0.0602788
58288.2428704 2 17.5391 0.0553275
58285.1803356 2 17.0995 0.076185
58285.1789352 2 17.2412 0.114616
58282.2063773 2 17.0916 0.0132988
58282.205 2 17.0985 0.0125764
58279.1771296 2 17.034 0.0134384
58279.1757407 2 17.0887 0.0138012
58272.25 2 17.5811 0.0214692
58272.25 2 17.6556 0.0209832
58269.176169 2 18.4385 0.0469569
