ZTF19aawmkja 0.040000 Ia
58691.2023032 2 18.9129 0.156513
58681.2829861 2 18.5424 0.108879
58681.2598611 2 18.5664 0.0797873
58679.2410764 2 18.3424 0.0968781
58677.282963 2 18.2534 0.0692623
58674.3095718 2 17.9885 0.0645905
58671.3855556 2 15.8642 0.229948
58665.3439236 2 17.8715 0.0492307
58665.3434722 2 17.9229 0.056869
58663.3456366 2 17.7933 0.0565757
58663.3451852 2 17.888 0.030731
58661.347037 2 17.7932 0.0511381
58661.345625 2 17.7055 0.0750677
58660.3286111 2 17.6374 0.047645
58660.3272569 2 17.6563 0.06023
58658.3947338 2 17.4742 0.0551777
58658.3942824 2 17.5308 0.0541376
58657.3942593 2 17.4264 0.0527413
58657.3929051 2 17.4314 0.0550324
58655.3398958 2 17.2992 0.0534732
58655.218125 2 17.2728 0.072887
58654.3850231 2 17.2935 0.0465917
58654.3613426 2 17.2058 0.0508448
58653.4284606 2 17.2422 0.0375726
58653.4086111 2 17.2651 0.0457511
58650.3468634 2 17.1876 0.0505512
58650.346412 2 17.1898 0.0428354
58647.3254282 2 17.1801 0.0435017
58647.3249769 2 17.241 0.0404125
58644.3298611 2 17.3624 0.0414669
58644.3279861 2 17.3642 0.0387125
58641.4147106 2 17.599 0.0513377
58641.4142593 2 17.5911 0.0470507
