ZTF19acyfkbf 0.050000 Ia
58874.1652662 1 20.5189 0.377187
58871.1533102 1 20.1853 0.281581
58862.1401273 1 19.3704 0.144476
58859.0862153 1 19.1163 0.191334
58850.1702778 1 18.4721 0.0940507
58838.1429514 1 18.3538 0.124045
58837.1253241 1 18.3956 0.0850141
58831.1451736 1 19.1712 0.193255
58830.2057176 1 19.3944 0.195052
