ZTF18aarlukc 0.062600 Ia
58673.1845602 1 20.0416 0.234866
58670.1989699 1 19.8026 0.239775
58670.1970718 1 20.0343 0.271917
58667.2023843 1 19.7534 0.167122
58667.1965625 1 19.9025 0.183741
58661.2221644 1 19.4481 0.133768
58661.2207639 1 19.3008 0.106793
58658.1992014 1 18.9647 0.0833531
58658.1973958 1 18.9639 0.0956
58655.2588542 1 18.7908 0.191401
58655.241088 1 18.673 0.126016
58649.1818171 1 18.1896 0.0917244
58649.181331 1 18.1105 0.0748425
58646.1956597 1 17.9997 0.0672939
58646.195162 1 17.937 0.0754343
58643.1985417 1 17.9289 0.0711084
58643.1752431 1 17.9999 0.0548367
58640.2040625 1 18.0061 0.0566156
58640.2035764 1 18.0223 0.0615543
58637.2436111 1 18.2336 0.0657211
58637.2259606 1 18.1894 0.0610097
58634.2293634 1 18.6714 0.0821463
