ZTF20aaurfhs 0.035200 II
58987.406875 1 19.5995 0.160709
58985.4206019 1 19.63 0.127698
58980.3981019 1 19.3315 0.153266
58973.4632523 1 18.9204 0.100239
58970.4435764 1 18.7821 0.0949968
58967.4367361 1 18.6279 0.07657
58964.3805903 1 18.4769 0.0791751
58961.3955671 1 18.301 0.0853264
58954.4376273 1 18.4292 0.0896766
58954.4025347 1 18.5002 0.094283
58953.4370486 1 18.709 0.086732
