ZTF18aaxqyki 0.100000 Ia
58308.1981597 1 20.1249 0.176259
58302.1979398 1 19.586 0.146829
58299.1793981 1 19.4815 0.121397
58296.1826157 1 19.199 0.203493
58293.2012847 1 19.067 0.133969
58290.2010995 1 18.8976 0.0915991
58284.2450463 1 18.7798 0.0378101
58278.2203704 1 19.1022 0.051648
58272.25 1 20.2465 0.154384
