ZTF19abzlsbl 0.030000 Ia
58790.3359722 1 20.6169 0.313186
58781.3981597 1 20.5149 0.375222
58781.3972338 1 20.4992 0.252517
58778.3126042 1 20.1732 0.309491
58775.3985069 1 20.1987 0.244449
58766.4179167 1 19.6498 0.206223
58765.4508218 1 19.3838 0.126001
58763.4172917 1 19.1117 0.0997636
58759.4178125 1 18.555 0.0874907
58756.4396296 1 18.1804 0.066813
58756.4189236 1 18.1875 0.0684858
58751.438206 1 18.0074 0.0748247
58750.4182176 1 18.1052 0.063461
58748.5033333 1 18.2779 0.077594
58747.4839005 1 18.394 0.079202
58745.5025 1 18.5586 0.172002
