ZTF19aawnqoj 0.070000 Ia
58692.1907639 1 20.5359 0.27436
58686.1899884 1 20.5756 0.444497
58674.2049421 1 19.6595 0.156997
58665.1901736 1 18.8816 0.101477
58661.2118403 1 18.5655 0.0841352
58658.211331 1 18.3466 0.0830655
58655.2319329 1 18.1744 0.0682145
58652.1722685 1 18.1053 0.0710379
58645.2310995 1 18.1609 0.066719
58642.2965972 1 18.3742 0.0664795
58639.252338 1 18.8993 0.0879533
58636.2730903 1 19.7992 0.10741
