ZTF19aawyepw 0.060000 Ia
58672.2143634 2 19.8689 0.182828
58669.3253125 2 19.4565 0.102618
58666.26125 2 19.5707 0.150832
58663.3052662 2 19.3923 0.121602
58660.2490972 2 19.2995 0.123234
58657.373287 2 18.9781 0.102412
58653.2049421 2 18.9105 0.104924
58647.2574653 2 18.861 0.12506
58644.2782176 2 18.8591 0.07741
58641.3139699 2 19.2046 0.0970396
58638.2868866 2 19.7684 0.160397
