ZTF19aamhhyo 0.080000 Ia
58600.2168056 1 20.7611 0.232987
58586.4019676 1 19.8025 0.179135
58583.3946759 1 19.6112 0.155762
58583.394213 1 19.4737 0.13748
58580.302581 1 19.2216 0.104191
58580.3021296 1 19.3432 0.0959335
58575.3189005 1 18.8824 0.0809455
58575.3184491 1 18.8799 0.0711809
58572.3391551 1 18.6567 0.111843
58572.320162 1 18.6879 0.0934742
58567.2951273 1 18.6602 0.114313
58567.2776852 1 18.5588 0.0771435
58562.3173843 1 18.9542 0.273088
58559.3582755 1 19.0751 0.117217
58556.3804398 1 19.7741 0.284787
