ZTF18abmxfrc 0.060000 Ia
58386.1967245 2 19.0433 0.169327
58383.1132755 2 18.6689 0.077129
58377.1495255 2 18.5919 0.0732312
58374.1284491 2 18.5228 0.0672921
58371.1336343 2 18.4597 0.0589665
58368.1488542 2 18.3259 0.0759346
58365.1516898 2 18.2087 0.0578131
58362.1529514 2 18.1313 0.0583663
58359.2128704 2 18.1032 0.0490854
58356.2125694 2 18.1369 0.0624498
58353.2478819 2 18.3289 0.0915651
58353.1924537 2 18.3228 0.0658782
58349.2496528 2 18.7052 0.0743767
58346.1830093 2 19.2618 0.0904953
