ZTF20aandwrl 0.098150 Ia
58914.3396644 2 19.3636 0.143102
58913.2337847 2 19.3848 0.153921
58913.2125231 2 19.5635 0.190061
58912.4153125 2 19.3637 0.129044
58912.4027778 2 19.4291 0.154828
58911.248125 2 19.3762 0.215498
58909.3166204 2 19.0697 0.11106
58909.316169 2 19.1363 0.0905098
58906.2337731 2 19.0348 0.113779
58906.2319329 2 19.1375 0.153745
58905.2336574 2 19.0028 0.126147
58905.2331944 2 19.0803 0.104191
58904.2337963 2 19.0138 0.100054
58904.2126505 2 19.0243 0.104892
58903.3951968 2 19.084 0.0999867
58903.393831 2 18.9894 0.0907971
58901.3744676 2 19.042 0.090098
58900.2572917 2 19.0989 0.128026
58900.2563773 2 19.1276 0.101991
58899.3197569 2 19.0551 0.090668
58899.3179167 2 19.0803 0.080202
58899.2986574 2 19.0654 0.081206
58899.2968403 2 18.9989 0.107626
58898.3376736 2 19.1579 0.086117
58898.3372222 2 19.0976 0.076339
58894.2890278 2 19.4927 0.120299
58894.2885764 2 19.4219 0.111117
