ZTF19aazxcvl 0.060000 Ia
58698.1816551 2 19.3193 0.123759
58695.2241551 2 18.4612 0.131918
58692.1866319 2 19.2117 0.208885
58682.2398727 2 19.0852 0.128627
58679.2189352 2 18.9837 0.107848
58676.2058102 2 18.7399 0.0901048
58670.3098148 2 18.4508 0.0787533
58667.2174537 2 18.4007 0.0632168
58663.201794 2 18.455 0.071516
58660.2264468 2 18.5877 0.0684452
58653.1924421 2 19.2031 0.11264
58650.2618866 2 19.8441 0.238611
