ZTF20aatqgeo 0.031900 II
58980.2227083 1 19.5285 0.12141
58974.2056366 1 19.5131 0.226759
58971.2955787 1 19.5042 0.169883
58968.2971412 1 19.3186 0.10435
58968.2971412 1 19.3186 0.10435
58963.3488657 1 19.1469 0.0927897
58962.3413542 1 19.3456 0.121498
58955.3171296 1 18.9428 0.0845683
58954.380787 1 18.9281 0.093321
58944.479537 1 18.4276 0.12316
58943.4125231 1 18.4736 0.0846209
58941.4432755 1 18.4088 0.091242
58940.382338 1 18.3281 0.0755648
58939.3526505 1 18.2791 0.076336
58936.3056481 1 18.2467 0.0679011
