ZTF19aavvvrc 0.034000 Ia
58697.4266667 2 20.3816 0.194157
58694.4959259 2 20.3089 0.192601
58694.4107639 2 20.3133 0.172581
58691.4250347 2 20.3932 0.195915
58688.4332523 2 20.132 0.26229
58685.4571065 2 19.9353 0.211853
58682.4296759 2 19.9287 0.193802
58682.4273958 2 19.7091 0.19932
58679.4723843 2 19.7235 0.134327
58679.4719213 2 19.7006 0.147119
58676.4673958 2 19.6031 0.106476
58673.4520833 2 19.4807 0.126985
58673.4511806 2 19.4912 0.122274
58670.4739468 2 19.2173 0.0979839
58670.473044 2 19.3507 0.11467
58667.476331 2 18.9635 0.103215
58667.4754282 2 18.9867 0.0911041
58657.4322106 2 18.2972 0.0869062
58654.4461458 2 18.1506 0.0955272
58654.4456944 2 18.0928 0.091178
58651.4377894 2 17.9194 0.0952211
