ZTF19aaduufr 0.040000 II
58898.2380208 1 21.2813 0.329177
58867.3933565 1 21.1318 0.325042
58852.495 1 20.8603 0.257617
58846.487662 1 20.9114 0.291516
58763.4673264 1 20.693 0.302139
58759.4477546 1 20.7476 0.321779
58756.4527315 1 20.7727 0.323066
58751.4856713 1 20.3284 0.334297
58748.5091667 1 20.1725 0.233397
58736.4862616 1 20.3874 0.223069
58617.1807407 1 18.8191 0.115971
58609.1958449 1 18.8749 0.0853401
58606.1621644 1 18.9756 0.09039
58598.2219329 1 19.021 0.0876552
58594.2033449 1 19.0364 0.130458
58591.1709144 1 19.3249 0.168218
58587.201088 1 19.1762 0.152772
58584.2166204 1 19.315 0.122528
58581.2025579 1 19.3169 0.13896
58567.198287 1 19.6725 0.191664
58562.1958796 1 19.4416 0.24862
58541.2450463 1 19.668 0.12116
58538.2635185 1 19.4354 0.18833
58526.4344097 1 19.5583 0.206967
58509.2394907 1 19.1477 0.131291
58503.5505787 1 18.6382 0.300708
