ZTF19aadypig 0.030000 II
58585.3860995 1 20.479 0.270709
58582.3776736 1 20.1586 0.397327
58572.3793634 1 19.8846 0.282837
58568.3776157 1 19.6564 0.180823
58557.4414005 1 19.1952 0.123723
58543.5033796 1 18.6666 0.175869
58539.4161458 1 18.2226 0.180668
58526.4726505 1 17.635 0.0657757
58522.5207523 1 17.4541 0.0513681
58512.5558102 1 17.334 0.057697
58507.5396991 1 17.6532 0.0582398
