ZTF18abxjekh 0.039100 II
58464.5247685 2 19.8925 0.151397
58461.5052546 2 19.6684 0.182205
58455.4562847 2 19.3561 0.179539
58443.461331 2 19.6872 0.156823
58440.5054977 2 19.5979 0.126008
58430.4975463 2 19.518 0.105345
58427.4628125 2 19.502 0.192284
58424.5419213 2 19.4894 0.150551
58390.5019676 2 18.9747 0.115737
58383.5267824 2 19.0757 0.152536
58379.5262037 2 19.0185 0.16185
