ZTF20aasapko 0.070000 Ia
58917.2055208 1 18.517 0.162376
58917.203669 1 18.626 0.230692
58915.1802315 1 18.8655 0.131046
58915.1764236 1 18.8051 0.132617
58912.1571644 1 19.2966 0.161074
58912.1529282 1 19.1776 0.128214
58909.229537 1 19.6128 0.253552
58909.1920023 1 20.029 0.288156
58909.1876273 1 19.9156 0.258896
58909.1848958 1 19.8393 0.303752
